Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Xaver Schlager,RBL,M(C),9,829,1,0,0,0,0.4,86.1,0.8,1,6.7
Nordi Mukiele,PSG,"D(CR),M(R)",6,675,0,1,0,0,0.5,90.6,1.2,0,6.7
Marcel Sabitzer,Bayern,"M(CLR),FW",7,626,1,1,2,0,1.1,87.9,0.6,0,6.7
Mathias Jensen,Brentford,M(C),15,1138,1,3,2,0,0.5,77.0,0.3,1,6.7
Aaron Ramsdale,Arsenal,GK,14,1260,0,0,0,0,0.0,63.1,0.2,0,6.7
Javi Sánchez,Real Valladolid,D(C),12,1007,1,0,4,0,0.4,85.7,1.6,0,6.7
Guillermo Maripán,Monaco,D(C),9,766,2,0,0,1,0.4,88.2,1.6,0,6.7
Patric,Lazio,"D(CR),M(R)",9,754,0,0,0,0,0.1,87.3,0.3,1,6.7
Saïd Benrahma,West Ham,AM(CLR),7,749,2,1,0,0,2.2,86.6,0.1,0,6.7
Jack Harrison,Leeds,"AM(CLR),FW",12,945,1,3,2,0,0.8,71.6,0.2,2,6.69
Kyle Walker-Peters,Southampton,"D(LR),M(R)",11,955,1,0,2,0,0.5,75.7,0.9,0,6.69
Daniel Amartey,Leicester,"D(CR),DMC",10,914,0,0,0,0,0.3,91.1,1.6,1,6.69
Íñigo Martínez,Athletic Bilbao,D(C),9,810,0,0,1,0,0.8,85.7,1.8,0,6.69
Marco Friedl,Werder Bremen,"D(CL),M(L)",14,1157,0,0,3,1,0.1,82.7,1.1,0,6.69
Vitaly Janelt,Brentford,DMC,11,993,1,1,1,0,0.3,86.5,1.0,1,6.69
Joe Aribo,Southampton,"M(CLR),FW",10,948,2,0,1,0,0.8,73.9,1.5,0,6.69
Perr Schuurs,Torino,D(C),9,709,0,0,2,0,0.2,84.3,2.5,0,6.69
Emil Holm,Spezia,M(R),12,1035,1,1,4,0,0.8,64.2,3.4,1,6.69
Zeki Çelik,Roma,"D(R),M(R)",6,637,0,0,2,0,0.2,76.2,0.7,0,6.69
Thiago Mendes,Lyon,"D(CR),M(CR)",14,1171,0,1,2,0,0.3,84.2,1.7,0,6.69
